page_number,url
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/fuer-ein-faires-wahlrecht-gestern-heute-und-morgen/
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bundesregierung-lehnt-weitere-massnahmen-gegen-steigende-lebensmittelpreise-ab/
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/tote-im-mittelmeer-sind-politische-absicht-die-bundesregierung-muss-endlich-handeln/
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/digitalisierung-ohne-alternativen-ist-ausgrenzung/
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/freiheit-fuer-julian-assange-5/
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/regierung-darf-dem-scheitern-der-mobilitaetswende-nicht-weiter-zuschauen/
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/reformplaene-des-wissenschaftszeitvertragsgesetzes-sind-ernuechternd-und-unzureichend/
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/die-naechste-rentenerhoehung-wird-im-geldbeutel-leider-nicht-ankommen/
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/soziale-berufe-unbedingt-aufwerten/
9,https://www.linksfraktion.de/presse/pressemitteilungen/detail/gute-arbeit-muss-die-grundsaeule-der-fachkraefteeinwanderung-sein/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/ampel-beim-klimaschutz-noch-schlechter-als-die-groko/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/zeit-fuer-einen-mietenstopp/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/weiterbildungen-sollten-nicht-nur-auf-wunsch-der-arbeitgeber-gefoerdert-werden/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/internationaler-tag-fuer-trans-sichtbarkeit-wir-streiten-gemeinsam-fuer-mehr-rechte/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/steigende-zahl-von-pflegebeduerftigen-macht-reform-noch-dringlicher/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/internationale-aufklaerung-der-nord-stream-anschlaege-bleibt-notwendig/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/aufwertung-des-pflegeberufs-wuerde-leiharbeit-von-selbst-begrenzen/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/menschenrecht-auf-wasser-vollstaendig-umsetzen/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/chinas-friedensinitiative-fuer-jemen-unterstuetzen/
10,https://www.linksfraktion.de/presse/pressemitteilungen/detail/lieferung-von-uran-munition-an-ukraine-stoppen/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/preisexplosion-im-supermarkt-sofort-stoppen/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/20-jahre-irakkrieg-verantwortliche-endlich-zur-rechenschaft-ziehen/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/waffenlieferungen-ueber-deutsche-haefen-bundesregierung-ahnungslos/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/zum-tod-von-antje-vollmer/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/fuer-bezahlbaren-industriestrom/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/mehr-windkraft-nur-mit-tarif/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/stillstand-statt-aufbruch-bei-gefoerderten-weiterbildungen-geht-nichts-voran/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/realloehne-erneut-gesunken-gezielte-entlastungen-sind-noetig/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/wissing-blockiert-mobilitaetswende/
11,https://www.linksfraktion.de/presse/pressemitteilungen/detail/wirtschaftliche-abhaengigkeiten-von-frauen-beseitigen-minijobs-in-sozialversicherungspflichtige-beschaeftigung-ueberfuehren/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bundesregierung-muss-appell-des-oepnv-braucht-zukunft-buendnisses-ernst-nehmen/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/mindestlohn-an-inflation-anpassen-debatte-transparent-gestalten/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bund-muss-sich-an-dauerhafter-bildungsfinanzierung-beteiligen/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bund-und-kommunen-sind-in-der-pflicht-fuer-die-pflege-und-gesundheitsberufe/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/lauterbach-muss-das-drohende-krankenhaussterben-verhindern/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/aufruestungswahnsinn-stoppen/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/opt-out-gefaehrdet-vertrauen-der-patienten/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/unabhaengige-internationale-untersuchung-zu-terroranschlaegen-auf-nord-stream-dringender-denn-je/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/die-langzeitpflege-braucht-eine-revolution-und-kein-stueckwerk/
12,https://www.linksfraktion.de/presse/pressemitteilungen/detail/scholz-muss-bei-biden-terroranschlag-auf-nord-stream-zum-thema-machen/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/feminismus-ist-mehr-als-rechte-repraesentation-und-ressourcen/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/historischen-bundestagsbeschluss-umsetzen-freiheit-fuer-julian-assange-einfordern/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/patientenrechte-nicht-auf-die-lange-bank-schieben/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/chinas-initiative-fuer-waffenruhe-in-der-ukraine-unterstuetzen-statt-kampfpanzer-liefern/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/leiharbeit-ueberall-einschraenken-nicht-nur-im-gesundheitswesen/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/patientenrechte-muessen-gestaerkt-werden/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/diplomatie-fuer-frieden-statt-nato-sicherheitskonferenz/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/lieferengpaesse-erfordern-neue-regeln-fuer-medikamentenpreisbildung/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bundesregierung-muss-postvorstand-zum-einlenken-zwingen/
13,https://www.linksfraktion.de/presse/pressemitteilungen/detail/hoechste-zeit-fuer-waffenstillstand-und-friedensverhandlungen/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/mehr-unterstuetzung-im-kampf-gegen-rechts/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/rekrutierung-minderjaehriger-stoppen-auch-bei-der-bundeswehr/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/esken-muss-scholz-ordentlich-dampf-machen/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/sanktionen-gegen-syrische-erdbebenopfer-aufheben/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/kampfpanzer-lieferung-der-ampel-gefaehrdet-frieden-und-sicherheit-in-europa/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/es-muss-ein-voelkerrechtlich-legitimer-weg-gefunden-werden/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/linke-begruesst-grundsatzentscheidung-fuer-colonia-dignidad-gedenkstaette-und-mahnt-zur-eile/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/stille-reserve-auf-rekordhoch-regierung-muss-handeln/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/eu-industrieplan-mit-placebos-gegen-den-abschwung/
14,https://www.linksfraktion.de/presse/pressemitteilungen/detail/lula-initiative-zur-beendigung-des-krieges-verdient-unterstuetzung/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/kmk-empfehlung-ist-ein-offenbarungseid/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/2023-zum-jahr-der-qualifizierung-machen/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/gute-arbeit-und-gute-loehne-statt-aktienrente/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/linke-verurteilt-raeumung-im-fechenheimer-wald/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/mit-wissing-ist-49-euro-ticket-einfuehrung-zur-posse-geworden/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/echter-kampf-gegen-armut-statt-kindergrundsicherung-light/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/studentische-beschaeftigte-endlich-tarifvertraglich-und-gesetzlich-absichern/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/jungen-menschen-eine-perspektive-geben/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/erneute-verfassungsbeschwerde-gegen-das-bnd-gesetz-ist-zu-begruessen/
15,https://www.linksfraktion.de/presse/pressemitteilungen/detail/kinder-und-jugendarmut-auf-rekordhoch/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/panzerlieferungen-sind-weiterer-tabubruch/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/ein-gutes-urteil-fuer-die-demokratie/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/viele-schlagworte-und-wenig-konkretes-neue-afrikastrategie-enttaeuscht-auf-ganzer-linie/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bundesregierung-darf-leopard-lieferungen-nicht-genehmigen/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/von-ramstein-geht-kein-frieden-aus/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/die-linke-kritisiert-unterstuetzung-der-ampelkoalition-beim-aufbau-beispielloser-ueberwachungsinfrastruktur/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/wir-brauchen-eine-pflegerevolution-jetzt/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/die-reichsten-durch-vermoegenssteuer-und-vermoegensabgabe-zur-finanzierung-des-gemeinwohls-heranziehen/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/lebensmittelvernichtung-ist-eine-schande/
16,https://www.linksfraktion.de/presse/pressemitteilungen/detail/alarmzeichen-in-der-sozialen-arbeit-endlich-ernst-nehmen/
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bundesregierung-an-versorgung-des-pck-mit-kasachischem-oel-nicht-ernsthaft-interessiert-linksfraktion-fordert-sondersitzung-im-bundestag/
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/ernaehrungsstrategie-nicht-nur-ankuendigen/
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/unabhaengige-patientenberatung-braucht-auch-unabhaengigkeit-von-krankenkassen/
