"page_number","urls"
10,"https://afdbundestag.de/michael-kaufmann-gruener-wasserstoff-aus-entwicklungslaendern-noch-immer-mit-vielen-fragezeichen/"
10,"https://afdbundestag.de/carolin-bachmann-bundesregierung-will-waermewende-ueberfallartig-durchsetzen/"
10,"https://afdbundestag.de/rene-springer-kranken-und-pflegekassen-droht-der-kollaps-leistungstraeger-sollen-den-kopf-hinhalten/"
10,"https://afdbundestag.de/christina-baum-cdu-antrag-zur-versorgung-von-long-covid-und-post-vac-betroffenen-ist-nichts-als-heuchelei/"
11,"https://afdbundestag.de/stefan-keuter-bundesregierung-verschleppt-aufklaerung-im-afghanistan-untersuchungsausschuss/"
11,"https://afdbundestag.de/ulrike-schielke-ziesing-gesetzliche-rentenversicherung-stabilisieren/"
11,"https://afdbundestag.de/martin-hess-bundessicherheitsbehoerden-brauchen-keinen-polizeibeauftragten/"
11,"https://afdbundestag.de/juergen-pohl-vier-tage-woche-ergebnisoffen-diskutieren-statt-linke-legenden-zu-verbreiten/"
11,"https://afdbundestag.de/andreas-bleck-kommunalen-verpackungssteuern-einen-riegel-vorschieben/"
11,"https://afdbundestag.de/alice-weidel-tino-chrupalla-rezession-ist-das-produkt-gruener-ampel-politik/"
11,"https://afdbundestag.de/carolin-bachmann-sportstaettenfoerderung-wird-durch-buerokratie-und-energetische-sanierung-ausgebremst/"
11,"https://afdbundestag.de/barbara-lenk-digitalisierung-der-verwaltung-analoger-zugang-muss-bleiben/"
12,"https://afdbundestag.de/juergen-braun-altparteien-wenden-sich-von-frauenrechten-ab/"
12,"https://afdbundestag.de/leif-erik-holm-ampel-blockiert-aufklaerung-von-habecks-guenstlingsnetzwerk/"
12,"https://afdbundestag.de/michael-kaufmann-datennetze-besser-vor-cyberkriminalitaet-schuetzen/"
12,"https://afdbundestag.de/rene-springer-rueckkehr-zu-hartz-iv-waere-kurzsichtig/"
12,"https://afdbundestag.de/alice-weidel-tino-chrupalla-habeck-will-autoritaere-klima-planwirtschaft-mit-der-brechstange-erzwingen/"
12,"https://afdbundestag.de/gerrit-huy-bundesregierung-kennt-die-zahl-der-analphabeten-unter-zuwanderern-nicht/"
12,"https://afdbundestag.de/stephan-protschka-regierung-muss-den-export-von-schweinefleisch-nach-china-wieder-ermoeglichen/"
12,"https://afdbundestag.de/gottfried-curio-ampel-will-abgrenzung-zwischen-asyl-und-arbeitszuwanderung-endgueltig-einreissen/"
13,"https://afdbundestag.de/enrico-komning-habeck-umtriebe-umgehend-und-transparent-aufklaeren/"
13,"https://afdbundestag.de/rene-springer-bessere-arbeitsbedingungen-in-der-pflege-statt-neoliberalem-migrationsaktionismus/"
13,"https://afdbundestag.de/alice-weidel-heizungsverbotsgesetz-muss-gestoppt-werden/"
13,"https://afdbundestag.de/gottfried-curio-einbuergerungserleichterungen-nicht-im-interesse-der-deutschen/"
13,"https://afdbundestag.de/kay-gottschalk-die-schuldenbremse-muss-endlich-eingehalten-werden/"
13,"https://afdbundestag.de/martin-reichardt-sogenanntes-selbstbestimmungsgesetz-oeffnet-willkuer-tuer-und-tor-2/"
13,"https://afdbundestag.de/rene-springer-jeder-fuenfte-von-armut-bedroht-konsequenzen-der-regierungspolitik-spitzen-sich-zu/"
13,"https://afdbundestag.de/leif-erik-holm-habeck-ist-angeschlagen/"
14,"https://afdbundestag.de/kay-gottschalk-entscheidung-des-bgh-im-cum-ex-tagebuchstreit-ist-im-sinne-der-oeffentlichkeit/"
14,"https://afdbundestag.de/goetz-froemming-20-jahre-versagen-der-deutschen-bildungspolitik-sozialtherapeutische-massnahmen-beenden/"
14,"https://afdbundestag.de/stephan-brandner-afd-fraktion-beantragt-untersuchungsausschuss-zu-verstrickungen-der-bundesregierung/"
14,"https://afdbundestag.de/attacke-auf-gesundheits-it-dienstleister-bitmarck-muss-aufgearbeitet-werden/"
14,"https://afdbundestag.de/christina-baum-einfuehrung-eines-pandemievertrages-durch-die-who-muss-verhindert-werden/"
14,"https://afdbundestag.de/kay-gottschalk-von-eu-kommission-vorgeschlagene-vergemeinschaftung-der-einlagensicherungen-muss-verhindert-werden/"
